geography_code,month_index,addressable_prevalent_pool,source_file,source_value_type,transformation_note
EU,1,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,10,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,100,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,101,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,102,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,103,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,104,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,105,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,106,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,107,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,108,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,109,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,11,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,110,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,111,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,112,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,113,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,114,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,115,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,116,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,117,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,118,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,119,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,12,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,120,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,121,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,122,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,123,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,124,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,125,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,126,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,127,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,128,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,129,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,13,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,130,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,131,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,132,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,133,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,134,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,135,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,136,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,137,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,138,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,139,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,14,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,140,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,141,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,142,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,143,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,144,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,15,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,16,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,17,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,18,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,19,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,2,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,20,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,21,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,22,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,23,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,24,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,25,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,26,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,27,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,28,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,29,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,3,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,30,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,31,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,32,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,33,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,34,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,35,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,36,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,37,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,38,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,39,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,4,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,40,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,41,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,42,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,43,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,44,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,45,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
EU,46,1041.666666666666666666666667,treatable pts 250.xlsx,annual_pool_divided_by_12,Derived from raw annual CML prevalent pool because source lacks explicit monthly pool.
