geography_code,month_index,segment_code,segment_share,placeholder_flag,source_gap,placeholder_method
EU,1,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,1,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,10,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,10,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,100,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,100,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,101,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,101,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,102,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,102,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,103,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,103,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,104,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,104,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,105,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,105,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,106,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,106,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,107,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,107,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,108,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,108,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,109,HR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,109,LR_MDS,0.5,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
